index	speaker	sentiment	movingave(bin 20)	text	movingave
315		Positive	-0.097561	[SCREEN IMAGE: JIM AS HIGH-SCHOOL HERO BEARING A SILVER CUP.]	-0.020044652
316	Laura	Neutral	-0.097561	LAURA: Yes.	-0.020044652
317	Laura	Neutral	-0.097561	His name was Jim.	-0.020044652
318		Neutral	-0.097561	[LAURA lifts the heavy annual from the claw-foot table.]	-0.020044652
319	Laura	Neutral	-0.14634	Here he is in The Pirates of Penzance.	-0.068823652
320	Amanda	Neutral	-0.097561	AMANDA [absently]: The what?	-0.020044652
321	Laura	Neutral	-0.073171	LAURA: The operetta the senior class put on.	0.004345348
322	Laura	Positive	-0.097561	"He had a wonderful voice and we sat across the aisle from each other Mondays, Wednesdays, and Fridays in the Aud."	-0.020044652
323	Laura	Positive	-0.073171	Here he is with the silver cup for debating !	0.004345348
324	Laura	Positive	-0.04878	See his grin?	0.028736348
325	Amanda	Positive	-0.04878	AMANDA [absently]: He must have had a jolly disposition.	0.028736348
326	Laura	Negative	-0.04878	LAURA: He used to call me - Blue Roses.	0.028736348
327		Neutral	-0.04878	[IMAGE: BLUE ROSES.]	0.028736348
328	Amanda	Negative	-0.04878	AMANDA: Why did he call you such a name as that?	0.028736348
329	Laura	Neutral	-0.073171	LAURA: When I had that attack of pleurosis - he asked me what was the matter when I came back.	0.004345348
330	Laura	Negative	-0.097561	I Said pleurosis he thought that I said Blue Roses !	-0.020044652
331	Laura	Neutral	-0.12195	So that's what he always called me after that.	-0.044433652
332	Laura	Negative	-0.14634	"Whenever he saw me, he'd holler, 'Hello, Blue Roses !"	-0.068823652
333	Laura	Negative	-0.12195	I didn't care for the girl that he went out with.	-0.044433652
334	Laura	Neutral	-0.12195	Emily Meisenbach.	-0.044433652
335	Laura	Neutral	-0.073171	Emily was the best-dressed girl at Soldan.	0.004345348
336	Laura	Negative	-0.097561	"She never struck me, though, as being sincere. . . . It says in the Personal Section - they're engaged."	-0.020044652
337	Laura	Neutral	-0.1	That's - six years ago !	-0.022483652
338	Laura	Neutral	-0.10256	They must be married by now.	-0.025043652
339	Amanda	Negative	-0.10526	AMANDA: Girls that aren't cut out for business careers usually wind up married to some nice man.	-0.027743652
340		Neutral	-0.10811	[Gets up with aspark of revival.]	-0.030593652
341	Amanda	Neutral	-0.10811	"Sister, that's what you'll do !"	-0.030593652
342		Negative	-0.13514	"[LAURA utters a startled, doubtful laugh."	-0.057623652
343	Amanda	Positive	-0.18919	She reaches quickly for a piece of glass.]	-0.111673652
344	Laura	Neutral	-0.24324	"LAURA: But, Mother."	-0.165723652
345	Amanda	Neutral	-0.27778	AMANDA: Yes ?	-0.200263652
346		Neutral	-0.30556	[Crossing to photograph.]	-0.228043652
347	Laura	Neutral	-0.25	LAURA [in a tone of frightened apology]: I'm - crippled !	-0.172483652
348		Neutral	-0.27778	[IMAGE: SCREEN.]	-0.200263652
349	Amanda	Neutral	-0.25	AMANDA: Nonsense !	-0.172483652
350	Amanda	Negative	-0.22222	"Laura, I've told you never, never to use that word."	-0.144703652
351	Amanda	Negative	-0.19444	"Why, you're not crippled, you just have a little defect - hardly noticeable, even!"	-0.116923652
352	Amanda	Negative	-0.19444	"When people have some slight disadvantage like that, they cultivate other things to make up for it - develop charm - and vivacity and - charm!"	-0.116923652
353	Amanda	Positive	-0.16667	That's all you have to do !	-0.089153652
354		Neutral	-0.13889	[She turns again to the photograph.]	-0.061373652
355	Amanda	Positive	-0.13889	One thing your father had plenty of - was charm!	-0.061373652
356		Neutral	-0.13889	[Tom motions to the fiddle in the wings.]	-0.061373652
357		None	-0.13889	THE SCENE FADES OUT WITH MUSIC	-0.061373652
358		None	-0.16667	 	-0.089153652
359		None	-0.16667	LEGEND ON SCREEN: 'AFTER THE FIASCO'	-0.089153652
360		None	-0.13889	SCENE 3.	-0.061373652
361		Neutral	-0.11111	[TOM speaks from the fire-escape landing.]	-0.033593652
362	Tom	Negative	-0.083333	"TOM: After the fiasco at Rubicam's Business College, the idea of getting a gentleman caller for Laura began to play a more and more important part in Mother's calculations."	-0.005816652
363	Tom	Negative	-0.083333	It became an obsession.	-0.005816652
364	Tom	Negative	-0.13889	"Like some archetype of the universal unconscious, the image of the gentleman caller haunted our small apartment."	-0.061373652
365		None	-0.13889	...	-0.061373652
366		Neutral	-0.11111	IMAGE: YOUNG MAN AT DOOR WITH FLOWERS.]	-0.033593652
367	Tom	Positive	-0.11111	"An evening at home rarely passed without some allusion to this image, this spectre, this hope."	-0.033593652
368	Tom	Negative	-0.13889	"Even when he wasn't mentioned, his presence hung in Mother's preoccupied look and in my sister's frightened, apologetic manner - hung like a sentence passed upon the Wingfields !"	-0.061373652
369	Tom	Neutral	-0.16667	Mother was a woman of action as well as words.	-0.089153652
370	Tom	Positive	-0.19444	She began to take logical steps in the planned direction.	-0.116923652
371	Tom	Neutral	-0.16667	"Late that winter and in the early spring - realizing that extra money would be needed to properly feather the nest and plume the bird - she conducted a vigorous campaign on the- telephone, roping in subscribers to one of those magazines for matrons called The Home-maker's Companion, the type of journal that features the serialized , sublimations of ladies of letters who think in terms of delicate cup-like breasts, slim, tapering waists, rich, creamy thighs, eyes like wood-smoke in autumn, fingers that soothe and caress like strains of music, bodies as powerful as Etruscan sculpture."	-0.089153652
372		Neutral	-0.13889	[SCREEN IMAGE: GLAMOUR MAGAZINE COVER.]	-0.061373652
373		Neutral	-0.11111	[A M A N D A enters with phone on long extension cord.	-0.033593652
374		Neutral	-0.083333	She is spotted in the dim state.]	-0.005816652
375	Amanda	Neutral	-0.083333	A M A N D A: Ida Scott?	-0.005816652
376	Amanda	Neutral	-0.11429	This is Amanda Wingfield!	-0.036773652
377	Amanda	Negative	-0.11765	We missed you at the D.A.R. last Monday!	-0.040133652
378	Amanda	Negative	-0.14286	I said to myself: She's probably suffering with that sinus condition !	-0.065343652
379	Amanda	Neutral	-0.13889	How is that sinus condition?	-0.061373652
380	Amanda	Neutral	-0.13514	Horrors !	-0.057623652
381	Amanda	Positive	-0.15789	Heaven have mercy !	-0.080373652
382	Amanda	Positive	-0.15789	"- You're a Christian martyr, yes, that's what you are, a Christian martyr !"	-0.080373652
383	Amanda	Negative	-0.13158	"Well, I just have happened to notice that your subscription to the Companion's about to expire!"	-0.054063652
384	Amanda	Negative	-0.10526	"Yes, it expires with the next issue, honey !"	-0.027743652
385	Amanda	Neutral	-0.078947		-0.001430652
386	Amanda	Positive	-0.076923	"Oh, honey, it's something that you can't miss !"	0.000593348
387	Amanda	Neutral	-0.076923	You remember how 'Gone With the Wind' took everybody by storm?	0.000593348
388	Amanda	Negative	-0.10256	You simply couldn't go out if you hadn't read it.	-0.025043652
389	Amanda	Negative	-0.076923	All everybody talked was Scarlet O'Hara.	0.000593348
390	Amanda	Negative	-0.076923	"Well, this is a book that critics already compare to Gone With the Wind."	0.000593348
391	Amanda	Neutral	-0.10256	It's the 'Gone With the Wind' of the post-World War generation!	-0.025043652
392	Amanda	Neutral	-0.076923		0.000593348
393	Amanda	Neutral	-0.051282	-Burning !	0.026234348
394	Amanda	Very Positive	-0.051282	"- Oh, honey, don't let them bum, go take a look in the oven and I'll hold the wire!"	0.026234348
395	Amanda	Neutral	-0.076923	Heavens - I think she's hung up !	0.000593348
396		None	-0.076923	[DIM OUT]	0.000593348
397		None	-0.051282	 	0.026234348
398		Negative	-0.025641	[LEGEND ON SCREEN: 'YOU THINK I'M IN LOVE WITH CONTINENTAL SHOEMAKERS?']	0.051875348
399		Neutral	0	"[Before the stage is lighted, the violent voices Of TOM and AMANDA are heard."	0.077516348
400		Neutral	0	They are quarrelling behind the portieres.	0.077516348
401		Negative	0	In front of them stands LAURA with clenched hands and panicky expression.	0.077516348
402		Neutral	-0.051282	A clear pool of light on her figure throughout this scene.]	0.026234348
403	Tom	Neutral	-0.10256	TOM: What in Christ's name am !	-0.025043652
404	Amanda	Neutral	-0.076923	AMANDA [shrilly]: Don't you use that -.	0.000593348
405	Tom	Neutral	-0.076923	TOM: Supposed to do !	0.000593348
406	Amanda	Neutral	-0.076923	AMANDA: Expression !	0.000593348
407	Amanda	Neutral	-0.12821	Not in my -.	-0.050693652
408	Tom	Neutral	-0.12821	TOM: Ohhh!	-0.050693652
409	Tom	Neutral	-0.076923	!	0.000593348
410	Amanda	Neutral	-0.076923	AMANDA: Presence !	0.000593348
411	Amanda	Neutral	-0.076923	Have you gone out of your senses?	0.000593348
412	Tom	Positive	-0.051282	"TOM: I have, that's true, driven out !"	0.026234348
413	Amanda	Positive	-0.051282	"AMANDA: What is the matter with you, you - big - big IDIOT !"	0.026234348
414	Tom	Neutral	-0.051282	TOM: Look !	0.026234348
415	Tom	Negative	-0.12821	"- I've got no thing, no single thing !"	-0.050693652
416	Amanda	Neutral	-0.15385	AMANDA: Lower Your Voice !	-0.076333652
417	Tom	Positive	-0.175	TOM: In my life here that I can call my OWN !	-0.097483652
418	Tom	Neutral	-0.14634	Everything is -.	-0.068823652
419	Amanda	Neutral	-0.14634	AMANDA: Stop that shouting !	-0.068823652
420	Tom	Neutral	-0.12195	TOM: Yesterday you confiscated my books !	-0.044433652
421	Tom	Neutral	-0.12195	You had the nerve to -.	-0.044433652
422	Amanda	Negative	-0.097561	AMANDA: I took that horrible novel back to the library- yes !	-0.020044652
423	Amanda	Negative	-0.12195	That hideous book by that insane Mr. Lawrence.	-0.044433652
424		Neutral	-0.12195	[Tom laughs wildly.]	-0.044433652
425	Amanda	Negative	-0.14634	I cannot control the output of diseased minds or people who cater to them - [Tom laughs still more wildly.]	-0.068823652
426	Amanda	Neutral	-0.12195	BUT I WON'T ALLOW SUCH FILTH BROUGHT INTO MY HOUSE !	-0.044433652
427	Amanda	Negative	-0.12195	"NO, no, no, no, no !"	-0.044433652
428	Tom	Neutral	-0.14634	"TOM: House, house !"	-0.068823652
429	Tom	Positive	-0.14634	"Who pays rent on it, who makes a slave of himself to -."	-0.068823652
430	Amanda	Negative	-0.14634	AMANDA [fairly screeching]: Don't you DARE to -.	-0.068823652
431	Tom	Negative	-0.17073	"TOM: No, no, I mustn't say things !"	-0.093213652
432	Tom	Positive	-0.17073	I've got to just -.	-0.093213652
433	Amanda	Neutral	-0.19512	AMANDA: Let me tell you-.	-0.117603652
434	Tom	Neutral	-0.21951	TOM: I don't want to hear any more!	-0.141993652
435		Negative	-0.2439	[He tears the portieres open.	-0.166383652
436		Negative	-0.21951	The upstage area is lit with a turgid smoky red glow.]	-0.141993652
437		Negative	-0.2439	"[AMANDA's hair is in metal curlers and she wears a very old bathrobe much too large for her slight figure, a relic of the faithless Mr Wingfield."	-0.166383652
438		Positive	-0.26829	An upright typewriter and a wild disarray of manuscripts are on the drop-leaf table.	-0.190773652
439		Negative	-0.26829	The quarrel was probably precipitated by his creative labour.	-0.190773652
440		Positive	-0.29268	A chair lying overthrown on the floor.	-0.215163652
441		Neutral	-0.31707	Their gesticulating shadows are cast on the ceiling by the fiery glow.]	-0.239553652
442	Amanda	Neutral	-0.34146	"AMANDA: You will hear more, you -."	-0.263943652
443	Tom	Negative	-0.29268	"TOM: No, I won' t hear more, I'm going out !"	-0.215163652
444	Amanda	Neutral	-0.29268	AMANDA: You come right back in -.	-0.215163652
445	Tom	Negative	-0.29268	"TOM: Out, out, out !"	-0.215163652
446	Tom	Positive	-0.29268	Because I'm -.	-0.215163652
447	Amanda	Neutral	-0.31707	"A M A N D A: Come back here, Tom Wingfield !"	-0.239553652
448	Amanda	Negative	-0.29268	I'm not through talking to you !	-0.215163652
449	Tom	Neutral	-0.29268	"TOM: Oh, go -."	-0.215163652
450	Laura	Neutral	-0.29268	LAURA [desperately]: Tom !	-0.215163652
451	Amanda	Negative	-0.26829	"AMANDA: You're going to listen, and no more insolence from you !"	-0.190773652
452	Amanda	Neutral	-0.2439	I'm at the end of my patience !	-0.166383652
453		Neutral	-0.26829	[He comes back toward her.]	-0.190773652
454	Tom	Neutral	-0.26829	TOM: What do you think I'm at?	-0.190773652
455	Tom	Negative	-0.26829	"Aren't I supposed to have any patience to reach the end of, Mother?"	-0.190773652
456	Tom	Neutral	-0.2439	"I know, I know."	-0.166383652
457	Tom	Negative	-0.21951	"It seems unimportant to you, what I'm doing - what I want to do - having a little difference between them !"	-0.141993652
458	Tom	Neutral	-0.19512	You don't think that -.	-0.117603652
459	Amanda	Neutral	-0.2439	AMANDA: I think you've been doing things that you're ashamed of.	-0.166383652
460	Amanda	Negative	-0.21951	That's why you act like this.	-0.141993652
461	Amanda	Negative	-0.25	I don't believe that you go every night to the movies.	-0.172483652
462	Amanda	Negative	-0.225	Nobody goes to the movies night after night.	-0.147483652
463	Amanda	Positive	-0.225	Nobody in their right mind goes to the movies as often as you pretend to.	-0.147483652
464	Amanda	Negative	-0.2	"People don't go to the movies at nearly midnight, and movies don't let out at two a.m. Come in stumbling."	-0.122483652
465	Amanda	Neutral	-0.225	Muttering to yourself like a maniac!	-0.147483652
466	Amanda	Negative	-0.2	You get three hours' sleep and then go to work.	-0.122483652
467	Amanda	Negative	-0.2	"Oh, I can picture the way you're doing down there."	-0.122483652
468	Amanda	Neutral	-0.175	"Moping, doping, because you're in no condition."	-0.097483652
469	Tom	Neutral	-0.175	"TOM [wildly]: No, I'm in no condition !"	-0.097483652
470	Amanda	Positive	-0.175	AMANDA: What right have you got to jeopardize your job - jeopardize the security of us all?	-0.097483652
